;;;;;;;;;;
;;Лист;;;;;Круг;;Метизы;
поз;имя чертежа;размер дет. (лист);колич дет.;вес 1 дет.;имя дет.;толщ-диам;размер дет. из круга;колич дет. круг;метизы;колич метизов
10;4508-АТК ОРГ2-219;220x57x10;1;0,92;Ребро;10;;;;
11;4508-АТК ОРГ2-219;d26,8x2,8x87;1;0,14;Патрубок;26,8;;;;
12;4508-АТК ОРГ2-219;d16x90;2;0,06;Шпилька;16;;;;
13;4508-АТК ОРГ2-219;40x8x8;1;0,02;Упор;8;;;;
14;4508-АТК ОРГ2-219;;;0,027;Болт;—;;;Болт М8х65 ГОСТ 7798-70;2
15;4508-АТК ОРГ2-219;;;0,006;Гайка;—;;;Гайка М8 ГОСТ 5915-70;2
16;4508-АТК ОРГ2-219;;;0,009;Шайба;—;;;Шайба стопорная;3
17;4508-АТК ОРГ2-219;;;0,038;Гайка;—;;;Гайка М16.58 ГОСТ 5915-70;3

1;4508-АТК ОРГ3-720;700x340x10;1;18,54;Плита скольжения;10;;;;
2;4508-АТК ОРГ3-720;70x10x8;4;0,04;Упор;8;;;;
3;4508-АТК ОРГ3-720;ШВ24x190;2;3,84;Швеллер;190;;;;
4;4508-АТК ОРГ3-720;225x76x8;1;0,99;Стенка;8;;;;
5;4508-АТК ОРГ3-720;260x196x10;2;3,98;Направляющая;10;;;;
6;4508-АТК ОРГ3-720;260x220x10;2;4,46;Плита;10;;;;
7;4508-АТК ОРГ3-720;260x59x10;2;1,12;Пластина;10;;;;
8;4508-АТК ОРГ3-720;796x300x10;1;18,63;Подушка;10;;;;
9;4508-АТК ОРГ3-720;225x76x8;1;0,98;Прокладка (Целон);8;;;;
10;4508-АТК ОРГ3-720;225x76x8;1;0,98;Стенка;8;;;;
11;4508-АТК ОРГ3-720;d33,5x2,8x76;1;0,2;Патрубок;33,5;;;;
12;4508-АТК ОРГ3-720;d24x840;2;2,96;Шпилька;24;;;;
13;4508-АТК ОРГ3-720;30x10x10;1;0,02;Упор;10;;;;
14;4508-АТК ОРГ3-720;;;0,112;Болт;—;;;Болт М12х100.58 ГОСТ 7798-70;2
15;4508-АТК ОРГ3-720;;;0,018;Гайка;—;;;Гайка М12.5 ГОСТ 5915-70;2
16;4508-АТК ОРГ3-720;;;0,025;Шайба;—;;;Шайба стопорная;1
17;4508-АТК ОРГ3-720;;;0,123;Гайка;—;;;Гайка М24.5 ГОСТ 5915-70;3

1;530-12 108.275.30-80;490x275x8;1;8,41;Основание;8;;;;
2;530-12 108.275.30-80;695x240x8;2;8,34;Угольник;8;;;;
3;530-12 108.275.30-80;663x275x10;1;14,21;Подушка;10;;;;
4;530-12 108.275.30-80;292x80x8;4;1,29;Проушина;8;;;;
5;530-12 108.275.30-80;;;5,12;Хомут;—;М24х1450;2;;
6;530-12 108.275.30-80;;;0,123;Гайка;—;;;Гайка М24 ГОСТ 5915-70;8

1;720-14_108.275.30;660x330x10;1;16,99;Основание;10;;;;
2;720-14_108.275.30;910x295x10;2;16,32;Угольник;10;;;;
3;720-14_108.275.30;555x100x10;4;3,93;Проушина;10;;;;
4;720-14_108.275.30;910x330x13;1;30,45;Подушка;13;;;;
5;720-14_108.275.30;;;11,47;Хомут;—;М30х2080;2;;
6;720-14_108.275.30;;;0,24;Гайка;—;;;Гайка М30 ГОСТ 5915-70;8
7;720-14_108.275.30;;;0,05;Шайба;—;;;Шайба 16 ГОСТ 11371-78;4
