elem;det;t;n;section;length;mass_sht;mass_total;note
;8;4;;Шайба 30 ГОСТ 11371-78*;;0,053;0,21;
;7;8;;Гайка М30.8 ГОСТ 5915-70*;;0,242;1,94;
;5;2;;КрГ30;1676;9,3;18,6;нар. резьбу, гнуть
;4;1;;305x14;780;26,14;26,14;
;3;1;;95x10;328;2,05;2,05;гнуть
;2;1;;305x10;590;14,12;14,12;гнуть
;1;2;;280x10;810;15,0;30,0;гнуть

