poz;designation;name;qty;weight
1;375x200x4;Скоба;1;2,34
2;296x40x4;Полухомут;1;0,36
3;;Болт М10х40 ГОСТ 7798-70;4;0,036
4;;Гайка М10 ГОСТ 5915-70;8;0,012

