poz;designation;name;qty;weight
1;660x330x10;Основание;1;16,99
2;910x295x10;Угольник;2;16,32
3;555x100x10;Проушина;4;3,93
4;910x330x13;Подушка;1;30,45
5;d30x2080;Хомут;2;11,47
6;;Гайка М30 ГОСТ 5915-70;8;0,24
7;;Шайба 16 ГОСТ 11371-78;4;0,05

