poz;designation;name;qty;weight
1;490x275x8;Основание;1;8,41
2;695x240x8;Угольник;2;8,34
3;663x275x10;Подушка;1;14,21
4;292x80x8;Проушина;4;1,29
5;d24x1450;Хомут;2;5,12
6;;Гайка М24 ГОСТ 5915-70;8;0,123

