poz;designation;name;qty;weight
1;350x200x10;Плита опорная;1;5,45
2;70x10x8;Платик;4;0,04
3;ШВ12x80;Швеллер;2;0,74
4;105x42x6;Ребро;1;0,19
5;140x83x6;Пластина;2;0,54
6;140x62x6;Пластина;2;0,41
7;d16x140;Пруток;2;0,22
8;180x150x6;Подушка;1;1,26
9;185x200x4;Прокладка (фторопласт);1;0,14
10;105x42x6;Ребро;1;0,19
11;d26,8x2,8x87;Патрубок;1;0,14
12;d16x350;Шпилька;1;0,55
13;40x8x8;Упор;1;0,02
14;;Болт М8х70 ГОСТ 7798-70;2;0,033
15;;Гайка М8 ГОСТ 5915-70;2;0,006
16;32x32x2;Шайба стопорная;1;0,009
17;;Гайка М16.58 ГОСТ 5915-70;3;0,038

