poz;designation;name;qty;weight
1;1150x1050x20;Плита;1;188,37
2;1100x700x20;Основание опоры;1;120,12
3;1100x618x20;Стенка;2;81,6
4;577x560x20;Стенка;2;50,41
5;1342x700x20;Подушка;1;146,55
6;d10x1150;Пруток;2;0,71
7;d10x58;Пруток;2;0,04
8;d20x1130;Пруток;12;2,77
9;d10x78;Пруток;16;0,05
10;d10x1030;Пруток;2;0,63
11;d10x28;Пруток;6;0,02

