poz;designation;name;qty;weight
1;700x340x10;Плита скольжения;1;18,54
2;70x10x8;Упор;4;0,04
3;ШВ24x190;Швеллер;2;3,84
4;225x76x8;Стенка;1;0,99
5;260x196x10;Направляющая;2;3,98
6;260x220x10;Плита;2;4,46
7;260x59x10;Пластина;2;1,12
8;796x300x10;Подушка;1;18,63
9;225x76x8;Прокладка (Целон);1;0,98
10;225x76x8;Стенка;1;0,98
11;d33,5x2,8x76;Патрубок;1;0,2
12;d24x840;Шпилька;2;2,96
13;30x10x10;Упор;1;0,02
14;;Болт М12х100.58 ГОСТ 7798-70;2;0,112
15;;Гайка М12.5 ГОСТ 5915-70;2;0,018
16;52x52x2;Шайба стопорная;1;0,025
17;;Гайка М24.5 ГОСТ 5915-70;3;0,123

