poz;designation;name;qty;weight
1;333x200x4;Скоба;1;2,08
2;250x40x4;Полухомут;1;0,31
3;;Болт М10х40 ГОСТ 7798-70;4;0,036
4;;Гайка М10 ГОСТ 5915-70;8;0,012

