poz;designation;name;qty;weight
1;470x340x10;Плита опорная;1;12,46
2;70x70x8;Плитка;4;0,04
3;ШВ24x140;Швеллер;2;2,75
4;220x57x10;Ребро;1;0,92
5;260x145x10;Пластина;2;2,94
6;260x86x10;Пластина;2;1,74
7;d16x260;Пруток;2;0,41
8;300x250x10;Подушка;1;5,85
9;340x250x4;Прокладка (фторопласт);1;0,75
10;220x57x10;Ребро;1;0,92
11;d26,8x2,8x87;Патрубок;1;0,14
12;d16x90;Шпилька;2;0,06
13;40x8x8;Упор;1;0,02
14;;Болт М8х65 ГОСТ 7798-70;2;0,027
15;;Гайка М8 ГОСТ 5915-70;2;0,006
16;32x32x2;Шайба стопорная;3;0,009
17;;Гайка М16.58 ГОСТ 5915-70;3;0,038

